"V1","V2","V3"
"P01LXRKOA",-0.0163066169673743,0.0155100547344992,0
"P01SVRKJSM",0,0.091826689571908,0
"P01SVLKJSM",0,0.0230801730947741,0
"P01LXRKOA2",0,0.0743490967591654,0
"V00WPRKN5",-0.00600720877708268,0,0
"V00KPRKN2",-0.0380581547865953,0,0
"V00DIRKN8",-7.34862663157625e-05,0,0
"V00DIRKN11",0,0.0310228719517887,0
"V00WPLKN1",0,0,0.272262064022017
"V00WPLKN3",0,0,0.143383197407217
"V00KPLKN3",-0.126913159920427,0,0
"V00KOOSFX5",0,0.0749599019907078,0
"V00WOMKPR",-0.0785137685922199,0,0.833920893842757
"V00CESD8",0.00970668137012677,0,0
"V00CESD11",0,0.0503637800845867,0
"V00FFQSZ28",0.0310947788026827,0,0
"V00FFQ33",0,0.074307673888294,0
"V00FFQ37",0,0.0121863056483692,0
"V00FFQ40",-0.00726457456849133,0.00698321741048309,0
"V00FFQ55",0,0.0419861064019747,0
"V00FFQSZ61",-0.0853330018492631,0.0151365024558286,0
"V00FFQ64",0,0.0146177146456341,0
"V00DTOLEC",0,0.0267554127268418,0
"V00FIBBEAN",0,0.0145812908265939,0
"V00DTGEN",0.011603769816205,0,0
"V00RPAVG",-0.000168825209233821,0,0
"V00RLARM",0,-0.0443887705956984,0
"V00STEPST1",0,0.149679577756375,0
"V00LKEFFPT",0,0.0346907891516367,0
"V00LKMTTPN",0,0.0413851311520702,0
"V00LKPGDPN",-0.0363867963558894,0,0
"P01HEIGHT",0.0106941202931284,0,0
"P01RH1CV",-0.000399463520143703,0,0
"P01RH4CV",-0.004624714442304,0,0
"P01RHBE",-0.00531722014521547,0,0
"V00400EXCL",-0.0293516534823386,0,0
"V1","V2","V3"
"P01LXRKOA",0,0.0628616227397636,0
"P01SVRKJSM",0,0.0804146950885955,0
"P01SVLKJSM",-0.00377586450619919,0,0
"P01LXRKOA2",0,0.0604708195664406,0
"P01OAGRDL",0,0.0116473172700958,0
"V00WPRKN3",0,0,0.163292230535738
"V00WPRKN5",-0.0452366069942976,0,0
"V00DIRKN4",-0.0104172081917713,0,0
"V00DIRKN8",0,0.0337260359418504,0
"V00DIRKN11",0,0.0508461532329902,0
"V00WPLKN1",-0.00715105907666265,0,0.0126271874428713
"V00WPLKN3",0,0,0.112267624942309
"V00KPLKN3",-0.171587356856967,0,0
"V00DILKN16",-0.0155961323381162,0,0
"V00KOOSFX5",-0.121471741282853,0,0
"V00WOMKPR",0,0,0.534383713290727
