V,V1,V2,V3
P01LXRKOA,-0.01620918,0,0
P01SVRKJSM,0,0.092487216,0
P01LXRKOA2,0,0.056881106,0
P01OAGRDL,0,0.037426418,0
V00WPRKN4,-0.000306215,0,0
V00WPRKN5,-0.034556304,0,0
V00KPRKN2,-0.000767031,0,0
V00DIRKN8,0,0.033839843,0
V00DIRKN11,0,0.045230018,0
V00WPLKN1,0,0,0.219469195
V00WPLKN3,0,0,0.109563606
V00KPLKN3,-0.132057965,0,0
V00DILKN16,-0.040748017,0,0
V00KOOSFX5,-0.045706417,0,0
V00WOMKPR,0,0,0.933092457
P01INJL,0.018368611,0,0
V00CESD5,0.045599547,0,0
V00CESD8,0.000249562,0,0
V00CESD11,-0.012363288,0.082064544,0
V00FFQ33,0,0.020679494,0
V00FFQ35,-0.000744765,0,0
V00FFQ40,0,0.007276232,0
V00FFQ41,0.02271148,0,0
V00FFQSZ61,-0.038580375,0,0
V00FFQSZ62,0,0.034194775,0
V00FFQ64,0,0.00958352,0
V00DTSFAT,0,0.016903692,0
V00DTOLEC,0,0.055450777,0
V00RPAVG,-0.002952744,0,0
V00RLARM,0,-0.011995006,0
V00STEPST1,0,0.14712283,0
V00NUMSTOP,-0.002345027,0,0
V00LKPGDPN,-0.044331188,0,0
P01RH1CV,-0.022893957,0,0
V00400EXCL,-0.029497784,0,0
