V,V1,V2,V3
P01SVRKJSM,0,0.036668099,0
P01OAGRDR,0,0.065770562,0
V00SF8,0,0.037976634,0
V00WPRKN1,0,0,0.098791838
V00DILKN7,0,0.020129067,0
V00DILKN8,0,0.038581561,0
V00DILKN16,0,0.011969068,0
V00KOOSFX5,0,0.030499377,0
V00KQOL4,-0.055393498,0,0
V00HSPSS,0,-0.002534832,0
V00WOMKPR,0,0,1.040372268
V00KOOSYML,0,-0.022102953,0
P01BL12SXL,0.001341878,0,0
V00CESD3,0,0.017640867,0
V00CESD11,-0.031903769,0,0
V00NSAIDS,-0.028739997,0.057471722,0
V00RX30,-0.028787791,0,0
V00COMORB,-0.053567343,0,0
V00PSMKYR,0.015877224,0,0
V00FFQ31,-0.010264905,0.010519853,0
V00FFQ33,0,0.02979889,0
V00FFQSZ61,-0.067004278,0,0
V00FFQ69,0,0.007666234,0
V00DTSFAT,0,0.022276555,0
V00STEPST1,0,0.015575802,0
V00LKPFCRE,-0.008960169,0,0
V00PASE4,0.027596294,-0.003091837,0
V00EDCV,0.013021597,0,0
