"V1","V2","V3"
"P01SVRKJSM",0,0.0366680987467601,0
"P01OAGRDR",0,0.0657705620005129,0
"V00SF8",0,0.0379766335997588,0
"V00WPRKN1",0,0,0.0987918383706355
"V00DILKN7",0,0.0201290666473806,0
"V00DILKN8",0,0.0385815609216585,0
"V00DILKN16",0,0.0119690681163535,0
"V00KOOSFX5",0,0.0304993767849612,0
"V00KQOL4",-0.0553934983250742,0,0
"V00HSPSS",0,-0.00253483215762376,0
"V00WOMKPR",0,0,1.04037226848043
"V00KOOSYML",0,-0.0221029533217525,0
"P01BL12SXL",0.00134187794866263,0,0
"V00CESD3",0,0.0176408670993609,0
"V00CESD11",-0.0319037691223961,0,0
"V00NSAIDS",-0.0287399966364265,0.057471722242219,0
"V00RX30",-0.0287877913396883,0,0
"V00COMORB",-0.0535673433255801,0,0
"V00PSMKYR",0.0158772242627044,0,0
"V00FFQ31",-0.0102649048358781,0.0105198525853554,0
"V00FFQ33",0,0.0297988899640728,0
"V00FFQSZ61",-0.067004277834389,0,0
"V00FFQ69",0,0.00766623407662127,0
"V00DTSFAT",0,0.022276555470377,0
"V00STEPST1",0,0.0155758016599845,0
"V00LKPFCRE",-0.00896016853399295,0,0
"V00PASE4",0.0275962942834394,-0.00309183719172253,0
"V00EDCV",0.0130215968398225,0,0
"V1","V2","V3"
"P01SVRKJSM",0,0.0317724242345439,0
"P01OAGRDR",0,0.0736272596953869,0
"V00SF12",-0.0350942535882816,0,0
"V00WPRKN1",-0.0454684705351149,0,0.0512473663863919
"V00KSXRKN3",0,0.0213740095315368,0
"V00DILKN8",0,0.0724635702987841,0
"V00KQOL4",-0.0515896009634885,0,0
"V00HSPSS",0,-0.0230504280652805,0
"V00WOMKPR",0,0,1.08371910833113
"P01BL12SXR",0.0121388586061377,0,0
"V00CESD3",0,0.0835015589428551,0
"V00CESD11",-0.00886316421494343,0.0639796793784444,0
"V00NSAIDS",-0.0363826222548854,0.0719043668947226,0
"V00RX30",-0.0219574330609508,0,0
"V00COMORB",-0.0413778039263346,0,0
"V00PSMKYR",0.00180542548618298,0,0
"V00FFQ31",0,0.0236265621224262,0
"V00FFQ33",0,0.0138205852042317,0
"V00FFQ69",-0.0161926264709825,0.00797715319071117,0
"V00DTSFAT",0,0.00480989822029567,0
"V00STEPST1",0,0.00971467947137929,0
"P01RH1CV",-0.00526431414050348,0,0
"V00PASE4",0,-0.0293997582011583,0
"V1","V2","V3"
"P01SVRKJSM",0,0.057663297171265,0
"P01OAGRDR",0,0.00147314363704949,0
"V00SF8",0,0.00689602429304462,0
"V00WPRKN1",-0.0082639266461805,0,0.172262551542625
"V00WPRKN2",0,0,0.0979553068903424
"V00DILKN8",0,0.0757198405099558,0
"V00KQOL4",-0.0677400883843907,0,0
"V00HSPSS",0,-0.047834930188086,0
"V00WOMKPR",0,0,0.879924982041384
"V00KOOSYML",0,-0.0126424749283478,0
"P01BL12SXL",0.0234915979915717,0,0
"P01BL12SXR",0.0135550204761985,0,0
"V00CESD3",0,0.000476810497768907,0
"V00CESD11",-0.0816667803846062,0.0023290281791105,0
"V00NSAIDS",-0.0449519128218784,0.0433453183298539,0
"V00RX30",-0.0104634347058354,0,0
"V00COMORB",-0.0246955728562344,0,0
"V00PSMKYR",0.0364305863453246,0,0
"V00FFQSZ61",-0.0707857102166605,0.000777278350723436,0
"V00DTSFAT",0,0.021910651839073,0
"V00STEPST1",0,0.014066615541841,0
"V00LKPGDPN",-0.0311063757269317,0,0
"V00PASE4",0,-0.0395464618169092,0
"V1","V2","V3"
"P01SVRKJSM",0,0.0390073064328202,0
"P01OAGRDR",0,0.0757196924274632,0
"V00SF4",0,-0.00398685243893172,0
"V00SF8",0,0.0431738272340284,0
"V00WPRKN1",0,0,0.198786114783341
"V00WPRKN2",0,0,0.0664042421012456
"V00DILKN8",0,0.0925978645322903,0
"V00KOOSFX5",-0.0144614461781061,0.00253585294271374,0
"V00KQOL4",-0.0400770741064825,0,0
"V00WOMKPR",0,0,0.915568239230607
"P01BL12SXL",0.00351845151748102,0,0
"P01BL12SXR",0.00864149257900845,0,0
"V00CESD3",0,0.0480209938087752,0
"V00CESD11",-0.0712319840314322,0,0
"V00NSAIDS",-0.0612428580641389,0.0236276699070189,0
"V00RX30",-0.0189305003605121,0,0
"V00COMORB",-0.0421371612428087,0,0
"V00PSMKYR",0.00324811015601802,0,0
"V00FFQ33",0,0.00241274994974034,0
"V00FFQSZ61",-0.0464838559435445,0,0
"V00FFQ69",0,0.0171790540804967,0
"V00STEPST1",0,0.000952778288700461,0
