"V1","V2","V3"
"P01SVRKJSM",0,0.0231294357463824,0
"P01SVRKJSL",0.0318779691683768,0,0
"P01LXRKOA2",0,0.0278461245451948,0
"V00WPRKN5",-0.0038513499761121,0,0
"V00WPLKN1",0,0,0.257732872264074
"V00DILKN8",-0.0574115851468065,0,0
"V00DILKN10",-0.00503916099038307,0,0
"V00DILKN16",-0.0392558333705839,0,0
"V00KOOSFX5",-0.0571120038007089,0,0
"V00WOMKPL",0,0,0.971112922954505
"V00CESD6",-0.00204405961719988,0,0
"V00CESD11",0,0.0497506099599956,0
"V00FFQ15",-0.00134604193609588,0,0
"V00FFQ33",0,0.0367952848992159,0
"V00FFQ37",0,0.0664720951256847,0
"V00FFQSZ61",0,0.0420010587258997,0
"V00DTOLEC",0,0.0144290224534319,0
"V00RLARM",0,-0.0215688503297635,0
"V00STEPST1",0,0.174727787116788,0
"V00LKPATPN",-0.00431549671659508,0,0
"V00LKEFFPT",0,0.0327770664121753,0
"V00400MTR",0.0208920476751902,0,0
"V1","V2","V3"
"P01SVRKJSM",0,0.0420550789449927,0
"P01SVRKJSL",0.00839170684613621,0,0
"P01LXRKOA2",0,0.0845664257956468,0
"V00SF4",0,-0.00573518465655171,0
"V00WPRKN5",-0.0578083958173495,0,0
"V00DIRKN8",0,0.0376272743455675,0
"V00WPLKN1",0,0,0.120288868850704
"V00WPLKN4",0,0,0.00181718752658033
"V00KPLKN3",-0.0500647743013118,0,0
"V00DILKN8",-0.0289241785243018,0,0
"V00DILKN16",-0.00928799683504406,0,0
"V00KOOSFX5",-0.103104729312878,0,0
"V00WOMKPL",0,0,1.04420370133936
"V00CESD6",-0.033985499590579,0,0
"V00CESD11",0,0.0550735014363391,0
"V00FFQ33",0,0.0163275833447233,0
"V00FFQ37",0,0.0475503570957878,0
"V00RLARM",0.0131776695890164,0,0
"V00STEPST1",0,0.13266319378211,0
"V00LKMTTPN",0,0.00382225101075158,0
"V1","V2","V3"
"P01LXRKOA",0,0.022525951350541,0
"P01SVRKJSM",0,0.0163512654480065,0
"P01SVRKJSL",0.0110443780305795,0,0
"V00SF5",0,-0.0306323470596934,0
"V00WPRKN5",-0.0256412690454134,0,0
"V00WPLKN1",0,0,0.16116837727
"V00DILKN8",-0.0321567430551451,0,0
"V00DILKN10",-0.0180479934335953,0,0
"V00DILKN16",-0.0510976019623691,0,0
"V00KOOSFX5",-0.0660037017881326,0,0
"V00WOMKPL",0,0,1.02179012150282
"V00CESD6",-0.0100966132946058,0,0
"V00CESD11",0,0.0844213184591307,0
