V,V1,V2,V3
P01LXRKOA,0,0.0280283,0
P01SVRKJSL,0.043628933,0,0
P01XRKOA,0,0.015963185,0
V00SF5,0.013835762,0,0
V00WPRKN5,-0.030819979,0,0
V00DIRKN8,0,0.001983447,0
V00DIRKN16,0,0.018148739,0
V00WPLKN1,0,0,0.136831249
V00KPLKN3,-0.00914838,0,0
V00DILKN2,-0.046008509,0,0
V00DILKN10,-0.020835709,0,0
V00DILKN16,-0.021065776,0,0
V00KOOSFX5,-0.082458603,0,0
V00WOMKPL,0,0,1.162159951
V00CESD6,-0.046637455,0,0
V00CESD11,0,0.013102906,0
V00FFQSZ9,0.01233937,0,0
V00FFQ15,-0.002993883,0,0
V00FFQ33,0,0.002077359,0
V00FFQ37,0,0.023017463,0
V00FFQSZ61,0,0.019189383,0
V00DTGEN,0.004746335,0,0
V00STEPST1,-0.008419403,0.148731085,0
V00LKEFFPT,0,0.009597904,0
